price,score,max_score,score_pct,bias,alignment,kj_h1,kj_h4,kj_d1,kj_w1,kj_mn,d_kj_h4,tk_h1,tk_h4,tk_d1,d_tk_h4,d_tk_d1,tkx_h1,tkx_h4,tkx_d1,kumo_h1,kumo_h4,kumo_d1,sl,tp,rr,d_sl_pips,d_tp_pips,is_forex,is_jpy,is_xau,is_index,is_dxy,day_of_week,month,outcome
183.292,60,109,0.5555555555555556,-1.0,5,183.4345,183.61399999999998,182.5,177.3145,0.0,-32.19999999999743,183.088,183.4535,183.861,-16.149999999998954,-56.89999999999884,-1.0,-1.0,1.0,-1.0,0.0,0.0,183.4345,183.007,2.0,-14.25000000000125,28.49999999999966,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
211.753,84,109,0.7777777777777778,1.0,7,211.166,211.04399999999998,208.5135,203.58100000000002,0.0,70.90000000000032,211.269,211.166,210.93599999999998,58.69999999999891,81.70000000000073,1.0,1.0,1.0,1.0,0.0,0.0,211.166,212.927,2.0,58.69999999999891,-117.40000000000066,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4448.38,84,109,0.7777777777777778,1.0,7,4385.415,4365.13,4339.505,3908.88,0.0,832.5,4425.9400000000005,4382.65,4412.15,657.3000000000047,362.30000000000473,1.0,1.0,1.0,1.0,0.0,0.0,4385.415,4574.31,2.0,629.6500000000015,-1259.300000000003,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
48974.18,72,109,0.6666666666666666,1.0,6,48671.35,48515.25,48208.255000000005,46469.955,0.0,4589300.000000003,48766.354999999996,48515.25,48515.25,4589300.000000003,4589300.000000003,1.0,0.0,1.0,1.0,0.0,0.0,48671.35,49579.84,2.0,3028300.0000000177,-6056599.999999962,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
25394.76,72,109,0.6666666666666666,1.0,6,25311.725,25339.475,25244.25,24442.55,0.0,552849.9999999986,25431.425000000003,25334.15,25394.0,606099.9999999695,7599.999999983993,1.0,-1.0,1.0,1.0,0.0,0.0,25339.475,25505.33,2.0,552849.9999999986,-1105700.0000000335,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6900.92,72,109,0.6666666666666666,1.0,6,6874.68,6871.93,6830.6,6589.675,0.0,289899.9999999978,6895.9,6871.93,6883.280000000001,289899.9999999978,176399.99999999418,1.0,0.0,1.0,1.0,0.0,0.0,6874.68,6953.4,2.0,262399.9999999978,-524799.9999999956,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
98.309,48,109,0.4444444444444444,-1.0,4,98.5395,98.378,98.77799999999999,98.3015,0.0,-6.9000000000002615,98.5395,98.507,98.2895,-19.80000000000075,1.9499999999993634,0.0,1.0,-1.0,0.0,0.0,0.0,98.378,98.30762,0.02,-6.9000000000002615,0.13799999999974943,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.16878,60,109,0.5555555555555556,-1.0,5,1.171335,1.1712850000000001,1.1681599999999999,1.1655,0.0,-25.050000000002015,1.170075,1.1701000000000001,1.17336,-13.200000000002099,-45.80000000000028,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.17129,1.16377,2.0,-25.100000000000122,50.09999999999959,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.35018,60,109,0.5555555555555556,1.0,5,1.3529399999999998,1.34845,1.33734,1.336795,0.0,17.300000000000093,1.351275,1.34961,1.34845,5.699999999999594,17.300000000000093,-1.0,1.0,1.0,1.0,0.0,0.0,1.34845,1.35364,2.0,17.300000000000093,-34.600000000000186,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
156.66,0,109,0.0,0.0,0,156.476,156.703,156.04649999999998,151.833,0.0,-4.300000000000637,156.523,156.543,156.4245,11.699999999999022,23.550000000000182,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
